creative,uid,f_picture,f_dist,o_picture,o_dist
USSEN/AK AKDP&BEGICH WHATEVER IT TAKES,0Q36RVHKzQs,1,0.376999248967253,0,0.6308440035722606
USSEN/AK BEGICH AD IDEAS,hdGYDt7AF24,1,0.3423170470981936,1,0.39890660922444937
USSEN/AK BEGICH AVIATION,hxFGToX34jw,1,0.29318339616796274,0,0.6349143141575201
USSEN/AK BEGICH BELLA,Axwxi7p9ov0,1,0.3172949174492506,0,0.581625602556628
USSEN/AK BEGICH BRYAN BOX,3Ad8gNA6stg,1,0.28514130216577427,0,0.544575692472493
USSEN/AK BEGICH CHEAP,NeWBOWdZ92M,1,0.46282767724482426,0,0.6383417947351734
USSEN/AK BEGICH FATHER TO SON 60,fnVDAfkLHK8,1,0.33562554592241,0,0.5667528328548981
USSEN/AK BEGICH FRIGHTENING,N0IYCGBKY6w,0,0.5556555030099021,1,0.42859393262388357
USSEN/AK BEGICH JUST GOT HERE,M0ds6ldi7Mw,1,0.45624376909625797,1,0.3958009070557028
USSEN/AK BEGICH MARGIE,xRwJxwfFxaU,1,0.2951721324354397,0,0.5959534700567135
USSEN/AK BEGICH OUTSIDER AD,FMArORE6D3o,1,0.28272703001995314,0,0.6145989668888666
USSEN/AK BEGICH RIPPED OFF,DQuqQWG43ns,1,0.4379694119547228,1,0.4583622591601747
USSEN/AK BEGICH ROAD,N6LXyj62FVQ,1,0.30857400655651623,0,0.6452168501031411
USSEN/AK BEGICH TERRY,zC-UBP6IMEo,1,0.43530515271865755,0,0.6336425822590096
USSEN/AK BEGICH TOOK ON OBAMA,nbNAvbuRgE4,1,0.4415017896323461,1,0.46201335090947426
USSEN/AK BEGICH WE WON,MacCj2bCNYg,1,0.45836822562751767,0,0.6372469103452938
USSEN/AK BEGICH WHO'S BEHIND,m5JFAMJ-9Uk,1,0.4166952645550604,0,0.6090932296002741
USSEN/AK BEGICH WORK WITH ANYONE,_WtLKmT25_w,1,0.4402708095270998,0,0.5793699970606321
USSEN/AK SULLIVAN ADVANCING ALASKA'S INTERESTS,YQL3QfGkfNQ,1,0.3060068289665899,0,0.7793783157083368
USSEN/AK SULLIVAN ALASKA'S TEACHERS,OSOQw2ccfKU,1,0.35391027783859863,0,0.6053382846206544
USSEN/AK SULLIVAN BEGICH'S FRIENDS,pW34DdIfCvI,1,0.39363285162494266,1,0.39913862634566
USSEN/AK SULLIVAN COMMITTED,N42fO_JUNpI,1,0.47682970324867047,0,0.705910347325636
USSEN/AK SULLIVAN ELAINA,wumIqinW404,1,0.48271946265539295,0,0.6679497182663281
USSEN/AK SULLIVAN LAME TRICKS,sveaZ4OpOo8,1,0.41740886399794397,0,0.6161689056079243
USSEN/AK SULLIVAN RETURNING THE FAVOR,kHPzTMT0Clk,1,0.30151202356061213,1,0.37496439675052073
USSEN/AK SULLIVAN ROOTS,9xgc2GHRQFY,1,0.3796978225276017,0,0.6695135495533083
USSEN/AK SULLIVAN RUNNING,tqrIHISHyUE,1,0.3837840615574977,0,0.7712466475725238
USSEN/AK SULLIVAN SEE THINGS DIFFERENTLY,pRRaiV06YUA,1,0.36648339189536266,1,0.3646466106284624
USSEN/AK SULLIVAN STAND UP TO OBAMA,2T7qWr9eZ9w,1,0.3831929139452297,0,0.6630047892951639
USSEN/AK SULLIVAN STEELFAB,60pD5YEEyN4,1,0.3864835503260454,1,0.3441710123991334
USSEN/AK SULLIVAN&NRSC JULIE,xLugQ-sThnE,1,0.4840545931122165,0,0.6886128630258908
USSEN/AR COTTON BALLOT,R8OqBBi9nzY,1,0.3217340606938735,0,0.7579431295489811
USSEN/AR COTTON DECISIONS,wuJKO_fa5V8,1,0.3674331986030725,0,0.8502586033419705
USSEN/AR COTTON DEEP ROOTS,_x2-lV7vA_8,1,0.36843850222423347,0,0.6579879842054667
USSEN/AR COTTON FAMILY FARM,q47stRkYoO8,1,0.3155527169635616,0,0.7177984191860513
USSEN/AR COTTON HEAD ON,WD-o138RG9k,1,0.4008064932405186,0,0.6242614856524512
USSEN/AR COTTON LEAP OF FAITH 60,tgP-05BxfrU,0,0.5165067510742464,1,0.35883417853611776
USSEN/AR COTTON PRYOR ON TV,RbsJoRiwZaA,1,0.3703332404840025,1,0.4708891923371549
USSEN/AR COTTON RECOVERY,xKqIyk8E94A,0,0.5468370820734049,0,0.7216290632643038
USSEN/AR COTTON RETIRE PRYOR,K1l4jgRDvco,1,0.37926096095782325,1,0.5128933829023048
USSEN/AR COTTON SGT NORTON,PB-y5RdFCik,1,0.3776545070007249,0,0.6545721510428776
USSEN/AR COTTON STILL DOESN'T GET IT,M3EyrCLXGkg,1,0.30986730535770746,1,0.5052617381760818
USSEN/AR COTTON TOE THE LINE,u467mtj3mBk,1,0.40712189131067794,1,0.4358973808007709
USSEN/AR COTTON&NRSC INDOOR PLUMBING,D5GQn0feKxg,1,0.29552017633575106,0,0.7015461095509108
USSEN/AR COTTON&NRSC SERVE,xZXUZXwg6BE,1,0.321749010378178,0,0.6838468139124728
USSEN/AR PRYOR AGRICULTURAL DUST,fVB9VOQLhUY,1,0.39185979933495996,0,0.7981208525837555
USSEN/AR PRYOR AMERICAN JOBS,C6OYWChbZW0,1,0.36833610799954847,0,0.7384968876540204
USSEN/AR PRYOR BLESSING,ONk6qXfpHNU,1,0.38550057058371157,0,0.7325536439098185
USSEN/AR PRYOR COURTNEY,43OwZnK1ddQ,0,0.8339326441031004,0,0.7710773081572508
USSEN/AR PRYOR DIAGNOSED,W1-n2g2e0BA,1,0.45923879219968394,0,0.6322230223009815
USSEN/AR PRYOR END,cZDgMvpBmW4,1,0.45609517473615063,0,0.7889131474297388
USSEN/AR PRYOR FORDYCE,HIJ0lHf4CLg,0,0.5883494430910075,0,0.6686241291671463
USSEN/AR PRYOR LINDA,MiskpgUMfT0,0,0.7360524290579159,0,0.7074691797080874
USSEN/AR PRYOR LISTEN TO PEOPLE,lSCMlTp5byg,1,0.3308071241158302,0,0.7341450376715265
USSEN/AR PRYOR OLD BOOT,wMGK3Rsuc3Q,1,0.3490139817679227,0,0.7687789798058199
USSEN/AR PRYOR OUTBREAK,K-DwHaEwXfY,1,0.4469928183542096,1,0.40680406468670904
USSEN/AR PRYOR RECORD,7_pDvk-b8nY,1,0.44791902049350824,0,0.5227748655731629
USSEN/AR PRYOR RESPONSIBLE,695VXm8knsQ,1,0.3726923305703914,0,0.7594931537094414
USSEN/AR PRYOR RETURNING THE FAVOR,C23xnuKsLAY,1,0.47400029363414203,1,0.4254003678435057
USSEN/AR PRYOR WHAT I BELIEVE,dpGPymn9fsI,1,0.41976709765032355,1,0.4149477053061065
USSEN/AR PRYOR&ARDP GENERAL WES CLARK,NDoaN7pHDhs,1,0.47120277897613083,0,0.6568397550228762
USSEN/AR PRYOR&ARDP MEDICARE PROTECTION ACT,HxVSbIdzcjw,1,0.3566077908517164,0,0.6828961363219905
USSEN/AR PRYOR&ARDP ONLY ONE DISASTER RELIEF,JehxaVGSILQ,1,0.4148305087216363,1,0.461398203274746
USSEN/AR PRYOR&ARDP PARTISAN GAMES,V_n-wl9wwt0,1,0.34531745024669097,0,0.7476197368817651
USSEN/AZ CARMONA ANSWERED THE CALL,6sRIJWgSlSA,1,0.43477621549824763,1,0.3587172678341487
USSEN/AZ CARMONA BOTH GOT IT WRONG,q4RMaBiDefo,1,0.3359197009900403,0,0.6676685358867146
USSEN/AZ CARMONA MCCAIN & KYL TESTIMONIALS,IE8WWcs3QG0,1,0.422882852767808,0,0.6285004326146127
USSEN/AZ CARMONA PROBLEM SOLVING,KNJ3dewVOMk,1,0.46390754442550264,0,0.588229328333132
USSEN/AZ CARMONA PUT ASIDE POLITICS,i88nHL2Vt2o,1,0.374919395841048,1,0.3673966345545813
USSEN/AZ CARMONA STRAIGHT TALKER,nARH9wSx8Oo,1,0.334188248543427,0,0.6638792002656012
USSEN/AZ DSCC&CARMONA KATHLEEN BRENNAN,jwbve7xcvF8,1,0.49684359389236454,1,0.38838384833237616
USSEN/AZ FLAKE IT'S A CHOICE,Y3rRJTyeEVs,1,0.2642489842012882,0,0.5538422931246594
USSEN/AZ FLAKE LIBERAL BIG GOVERNMENT AGENDA,ZCXbJw6O_X4,1,0.31641703155745715,0,0.6660005392408794
USSEN/AZ FLAKE MCCAIN & KYL ENDORSEMENT,k16Ky6soFuo,1,0.426511746404288,0,0.6172565411004161
USSEN/AZ FLAKE OBAMA'S MAN IN ARIZONA,Wau6Z_SKzI8,1,0.2830474104058789,0,0.5471604717906002
USSEN/AZ NRSC&FLAKE APRIL WHITE,ZXQ7XBAD08o,1,0.40020832227122843,0,0.6686243682136828
USSEN/AZ NRSC&FLAKE TURNING POINT,Yz7u61zD384,1,0.2759088320391244,0,0.7146027700151706
USSEN/CA FEINSTEIN ALL OVER CALIFORNIA,L2vdPz5VrG4,1,0.32194393783389064,0,0.727745163981811
USSEN/CO GARDNER ABSENT,6VCGgjdbxFI,1,0.33953559320608956,1,0.49183910232551414
USSEN/CO GARDNER BETTER COURSE,BuETJw-tHUw,1,0.3917615540139094,0,0.6520482359882492
USSEN/CO GARDNER BIG CITY,7GgKlYryEIY,1,0.3288466746476274,0,0.6563936002626038
USSEN/CO GARDNER BIG SHOES,RH81PBdnv1c,1,0.273842748694326,0,0.6688562579284012
USSEN/CO GARDNER ENDORSEMENTS,_83itMH7la0,1,0.36427039788046434,1,0.37253538402560643
USSEN/CO GARDNER FIX IT,B5FqULnVEWI,1,0.24531925740636992,0,0.7575370590662284
USSEN/CO GARDNER FOR YOU,IdStz3wFObQ,1,0.40718475063593673,0,0.6688511939222939
USSEN/CO GARDNER MAILBOX,kqfar9h-_Hs,1,0.3613986961431715,0,0.7428632902712852
USSEN/CO GARDNER NICE GUY,CdLNIGv50WQ,1,0.31245479154061445,0,0.7610235308467057
USSEN/CO GARDNER RIGHT HERE,9qvjS6I5iDE,1,0.3093936483464983,0,0.6540400333804669
USSEN/CO GARDNER ROSIE,Pz8WYAGCE2o,1,0.29763941043120073,0,0.673346590000898
USSEN/CO GARDNER&NRSC HOW OFTEN,TziO7ZniOxI,1,0.4113433215374533,1,0.34745990796944015
USSEN/CO GARDNER&NRSC NEXT GENERATION ENERGY,NPKzyophmNw,1,0.36334879628848077,0,0.7444928656106008
USSEN/CO UDALL ALREADY,UrGcd8M6ec0,0,0.5168369461570248,0,0.7022968291773081
USSEN/CO UDALL BACKWARDS,26sbLmONB2Y,0,0.6245148410882234,1,0.3955575983212503
USSEN/CO UDALL COLORADO,h8BCgJyOxkQ,1,0.35667240799614996,0,0.6416906285174463
USSEN/CO UDALL DENIALS,XYWBSdFt9RQ,0,0.5798871353050173,1,0.40749245990215516
USSEN/CO UDALL DIRECTLY FROM ME,m_V4POLXJV8,1,0.38498281779672205,1,0.435662998649765
USSEN/CO UDALL FLASH FLOODING,5hbUmeOWWkU,0,0.6251318778118802,0,0.677046308997985
USSEN/CO UDALL FREEDOM,ioHbADdXpKQ,1,0.355341032953253,0,0.6631632583881694
USSEN/CO UDALL HISTORY,Uw9TjLdpew0,1,0.4161939255168376,1,0.3938466186191436
USSEN/CO UDALL IN HERE,NLcfTIrzX2M,1,0.3329993650119363,0,0.651533783583545
USSEN/CO UDALL RECORD,EooSyESO7sw,1,0.3832649665915485,1,0.33122665834685083
USSEN/CO UDALL RESPECT,RtVdT5xPUy0,1,0.3955826594387839,1,0.443244501469555
USSEN/CO UDALL SUCCEED,oh71wLfUOwk,1,0.3604959540366332,0,0.6384782854628975
USSEN/CO UDALL TRUE,vnKGBlE8qQU,1,0.3250845838064358,0,0.6577919718565671
USSEN/CO UDALL&DSCC CALENDAR,kVeVTMFGK7k,1,0.37640286894339947,0,0.7896650615927621
USSEN/CO UDALL&DSCC CHAMPION,EdPo6Qli_ZY,1,0.39589218627119677,0,0.6172464649417289
USSEN/CO UDALL&DSCC JOB,dOsnxstP25w,1,0.33593911248744707,1,0.41630862997086715
USSEN/CT MCMAHON CAN'T BE BOUGHT,bsRq0h-qgto,1,0.3712230375041471,0,0.6660349883543201
USSEN/CT MCMAHON CAROLYN NAH,wDRSEDqh5to,1,0.3291664096417826,0,0.6100322714643925
USSEN/CT MCMAHON CONNECTS WITH THE PEOPLE,qKvspCN3ntw,1,0.3592424086102251,0,0.5985846603801667
USSEN/CT MCMAHON GOTTEN US IN A MESS,dAFymoNZHDM,1,0.3199894075872855,0,0.7309391510253991
USSEN/CT MCMAHON JOBLESS RATE REV 2,upefBfpM2hE,1,0.4280377846432388,0,0.5355407481871893
USSEN/CT MCMAHON OBAMA SUPPORTERS,2-d5g0pwJws,1,0.37876791462749054,0,0.6927580071652254
USSEN/CT MCMAHON REPRODUCTIVE RIGHTS,0WbiMlf5JrI,1,0.30222618175728655,0,0.639653950098037
USSEN/CT MURPHY BLUMENTHAL ENDORSEMENT,In7hpJmaY3k,1,0.40887302648384527,0,0.6793051806478692
USSEN/CT MURPHY CREATE THEIR OWN RULES,J_M69gmydec,1,0.34488807060805415,1,0.4459733685812327
USSEN/CT MURPHY DEMEANED WOMEN,YqzS7VeI_zI,0,0.5379888272261548,0,0.5685290859523104
USSEN/CT MURPHY DO AND SAY ANYTHING,HShhJZ0nyW4,1,0.44911920311203546,0,0.6736460740056186
USSEN/CT MURPHY IMAGE ISN' T REAL,kMSnjonDMSw,0,0.513990072431377,1,0.4026086821003273
USSEN/CT MURPHY JOBS RECORD,qYsQ118aWsE,1,0.4817967040603181,0,0.6201744793628875
USSEN/CT MURPHY MCMAHON HAD A PLAN,ETz8vpDIwcU,0,0.553602419404424,1,0.4401006570814156
USSEN/CT MURPHY NEWSPAPER ENDORSEMENTS,il2OUiw0B98,1,0.44665605169469336,1,0.5000406881061993
USSEN/CT MURPHY OBAMA ENDORSEMENT,rNL7_WTBui0,1,0.4801072755301434,0,0.6529276328072122
USSEN/CT MURPHY ROOTED IN THE MIDDLE CLASS,01-9hCQenQw,1,0.41225483129466933,0,0.6261492330573756
USSEN/DE CARPER PAID OFF,RhOISWq-7Ss,1,0.3690911609497232,0,0.5677286353388107
USSEN/DE COONS AMERICAN MANUFACTURING,l3IqdkCq9Hg,1,0.3126718924407853,0,0.5465346442261425
USSEN/DE COONS GET ALONG,lOfpxnMjjfA,1,0.3035694503994288,0,0.5403536790078476
USSEN/FL DSCC&NELSON MIDDLE CLASS,XBpdMudXSSs,1,0.4782546015713054,0,0.6271996292613031
USSEN/FL DSCC&NELSON OUT OF STATE BILLIONAIRES REV,91dtaCfcYOo,0,0.6346065589106615,1,0.4503333521615228
USSEN/FL NELSON IN NO WAY QUALIFIED,Za8YcX5RLZA,0,0.5635590548336704,0,0.6066982855162726
USSEN/FL NELSON PERSPECTIVE,9JmNMccRgbg,1,0.4224080415116758,0,0.5633027992226356
USSEN/FL NELSON&DSCC MEET CONNIE MACK IV,Hs2LGKdDPf4,1,0.4980179088596976,1,0.3935352347412404
USSEN/GA NUNN BIASED,7BNzoQWdNS8,1,0.3343394678535185,0,0.6491268208454155
USSEN/GA NUNN BRIDGE,jNjOLQX2A3o,1,0.4542204158442895,0,0.6427568701196019
USSEN/GA NUNN DISCOVERY PROGRAM,tTY6JfCh3OI,1,0.3836293608898259,0,0.7323379967087512
USSEN/GA NUNN HAVE YOU SEEN THIS PICTURE,SB11dMrnY-U,1,0.35914592215796626,0,0.7141212189861597
USSEN/GA NUNN JACKPOT,pwLOyhdLFTw,1,0.38029715304073664,0,0.7517181879526985
USSEN/GA NUNN MY WHOLE CAREER,fssW7TnYAwE,1,0.3105905123369108,0,0.6744329218074001
USSEN/GA NUNN PROUD OF IT,UKYdU-owVQw,1,0.33825767534467854,1,0.478901807916109
USSEN/GA NUNN REAL,bTREGpKHHKQ,1,0.3764322293926427,1,0.3406449894263917
USSEN/GA NUNN WHEN I HEAR,NukrwDfkZ4Y,1,0.362720444786905,1,0.3525936250885772
USSEN/GA NUNN&GAFEC DECENCY,bG7XMfWTeFw,1,0.35374592963874263,1,0.34200596038470515
USSEN/GA NUNN&GAFEC DO RIGHT,jICNm2S9AOg,0,0.6695320538977628,1,0.46936130766613904
USSEN/GA NUNN&GAFEC MOST OF MY CAREER,5tF0y17qN1U,1,0.44361866569369973,1,0.3519600415257271
USSEN/GA NUNN&GAFEC PILLOWTEX 60,eHhbrOjZSgo,1,0.45006071200664205,0,0.6273826578018896
USSEN/GA PERDUE CLEAR CHOICE,uGbu6mH2AaE,1,0.35411067418425923,1,0.3312364709286103
USSEN/GA PERDUE GEORGIA VALUES,3PYGPsj8Rec,1,0.4808098294474776,0,0.689850645831997
USSEN/GA PERDUE GET US WORKING AGAIN,R9WsqIlKPDk,1,0.3125687625669894,1,0.41284492297982894
USSEN/GA PERDUE LIKE YOU,RsXn4oa8XNw,1,0.422578557238487,1,0.35460254543462866
USSEN/GA PERDUE SECURE OUR BORDER,5Bt6DcMJjE4,1,0.3751561553564377,1,0.39480739797163844
USSEN/GA PERDUE TRUST,P_vuD3tHcJA,1,0.3325760752659937,1,0.5126054331032801
USSEN/GA PERDUE WE NEED A NEW DIRECTION,-9UHRD4QoMg,1,0.37128331302946427,0,0.5300985613957108
USSEN/GA PERDUE&NRSC AMERICAN DREAM,imFlbbqSWok,1,0.3051374019762546,1,0.3879312736126724
USSEN/GA PERDUE&NRSC HELPING GEORGIA GROW,MfqKo1mDoQU,1,0.4241105183595164,0,0.669987026410178
USSEN/GA PERDUE&NRSC NUNN ADMITS,IEkFCukkH5Y,1,0.4957365831863773,1,0.3145097058827528
USSEN/HI HIRONO A GOOD EDUCATION,NGmD8jmVzS0,1,0.34271883403299647,1,0.4615451148014267
USSEN/HI HIRONO LINGLE SUPPORTING ROMNEY,hIsANI9bxe4,0,0.5385669110199017,1,0.3880279560017104
USSEN/HI HIRONO MISLEADING US AGAIN,8oSsTWSXFww,1,0.44308693790778025,1,0.4763397437682152
USSEN/HI HIRONO MITT ROMNEY,6LR1egXAeCI,1,0.32971604838432905,1,0.3359482678963392
USSEN/HI HIRONO NEGATIVE CAMPAIGN,XBhV8az6bLo,1,0.3129727854211669,1,0.38693626327180924
USSEN/HI HIRONO NEWSPAPER ENDORSEMENT,7ZIIZA-c-zM,1,0.29779311984025314,0,0.5290274041584724
USSEN/HI HIRONO OBAMA'S TORMENTOR,H6-sRNdaZIw,1,0.3762999363615116,1,0.3632137211329177
USSEN/HI HIRONO WE CAN DO BETTER,e0xqKxAv7jE,1,0.2224179781306015,0,0.5238028827436867
USSEN/HI LINGLE AMERICAN PROBLEMS,-33cIZzWwho,1,0.33004378005597984,0,0.7668227004563487
USSEN/HI LINGLE DEFENSE CUTS,CqUI0GkjlS4,1,0.2996807526284669,1,0.3662283199967449
USSEN/HI LINGLE PUTS PEOPLE FIRST,-2Lrao-0mJQ,1,0.2825348059539435,1,0.418478647921747
USSEN/HI LINGLE ZERO,6VdLrpmGANk,1,0.08920216262914528,1,0.4232021440395927
USSEN/IA BRALEY BACK TO WORK,M2W2XtnVmEU,1,0.4460184933204335,0,0.7119004960268861
USSEN/IA BRALEY BEST FOR IOWA,hngBb4DxsTE,1,0.29025752861935245,0,0.9105075717552868
USSEN/IA BRALEY BRIDGES,pPi6G4kxFbc,1,0.36305844342343174,0,0.6720817360893009
USSEN/IA BRALEY CLOSER LOOK,xcrlbqGBE_Q,1,0.35578538791567504,1,0.35829197961948217
USSEN/IA BRALEY HUGE PRIORITY,kcgYZXYOVHg,1,0.26173712774710617,0,0.6426111620985139
USSEN/IA BRALEY MINIMUM,nEtpLZuNCvs,0,0.6447355102479704,1,0.3545648808771867
USSEN/IA BRALEY MOM,x4r1ZpMbaEw,1,0.32215926533588995,0,0.6684679340518719
USSEN/IA BRALEY PEEP,b3lwSSTEvNU,1,0.4318607143648844,1,0.4031794106659986
USSEN/IA BRALEY SOLVE PROBLEMS,Xiw9hekSkBU,1,0.2602984197974592,0,0.6921557234386203
USSEN/IA BRALEY THE TRUTH,vl6pQMT89YQ,1,0.4185341186295891,1,0.3578186046460352
USSEN/IA BRALEY TODD PRICHARD,1vFQAaRKkiY,1,0.4333394967269277,0,0.6442178757058005
USSEN/IA BRALEY WORK 60,eE12svo8iug,1,0.30129311833421213,0,0.6745062639088665
USSEN/IA BRALEY&IADP STRONG,o7NwzTDnVj8,1,0.27627515952620363,0,0.8526604882101665
USSEN/IA ERNST BISCUIT,8yn_AcB0Oog,1,0.37524612665281043,0,0.6949453048508667
USSEN/IA ERNST CHRIS,KBPEM4Xrre4,0,0.6506092148272355,0,0.615236721894173
USSEN/IA ERNST CROSSROADS,dxFtWKKay18,1,0.40231892700172917,0,0.8870283171404644
USSEN/IA ERNST DIFFERENCE,YokXZ4FzsV8,1,0.38654110489255444,0,0.6434394119619281
USSEN/IA ERNST DRIVE,p-rpeYufEbE,1,0.46679422434879164,0,0.5957127930742111
USSEN/IA ERNST LOT,oWXQ3IY8RvY,1,0.3934836742312596,0,0.822158911868501
USSEN/IA ERNST RED OAK,E-tq3za3FKc,1,0.3907885578188729,0,0.6311937956244387
USSEN/IA ERNST SERVICE,cNYKFZktYrs,1,0.3590703367648463,0,0.6159766960671007
USSEN/IA ERNST VALUES,n6M2rfQxnwU,1,0.4385044646013693,1,0.4205559578856738
USSEN/IA ERNST WHAT I CARE ABOUT,F_JqmuNkZ30,1,0.39293395202031,0,0.9287187977118577
USSEN/IA ERNST WILLIAM,SYZ2Kku5L8Y,0,0.6469273008304357,0,0.6616063875979421
USSEN/IA ERNST&NRSC HANDS,pwGGreYRpXU,1,0.42931222081714127,0,0.7211816523216349
USSEN/IL DURBIN CAPTAIN TONY 60,ugdwmRETIcs,1,0.4770144323386828,0,0.6259076023333573
USSEN/IL DURBIN STUDENT LOANS,ZR22BHCU44A,1,0.37280543474423045,0,0.5619109603367852
